Deck Profile,Deck Name,Date,Country,Author,Placement,Tournament,Host,leader_id,set_name,extraction_dt
op14mihawk,Green Mihawk,3/24/2026,Germany,OtakuProwder,1st Place,optcgsim(6-0),ChinoizeCup(64),OP14-020,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op11nami,BY Nami,3/24/2026,Switzerland,Gringoloco,2nd Place,optcgsim,ChinoizeCup(64),OP11-041,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op8kalgara,Kalgara,3/24/2026,Greece,Tsaams,T4,optcgsim,ChinoizeCup(64),OP08-098,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op15enel,Purple Enel,3/24/2026,Puerto Rico,DZayas,T4,optcgsim,ChinoizeCup(64),OP15-058,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op15lucy,Red Blue Lucy,3/24/2026,Germany,MaxMaxMax3,T8,optcgsim,ChinoizeCup(64),OP15-002,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op15lucy,Red Blue Lucy,3/24/2026,Poland,Szychu,T8,optcgsim,ChinoizeCup(64),OP15-002,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op11nami,BY Nami,3/24/2026,Turkiye,Legandes,T8,optcgsim(5-1),ChinoizeCup(64),OP11-041,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op15lucy,Red Blue Lucy,3/23/2026,Ukraine,Solmyr,1st Place,optcgsim(6-0),ChinoizeCup(64),OP15-002,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op14doffy,Purple Doffy,3/23/2026,Germany,tsvaac,2nd Place,optcgsim,ChinoizeCup(64),OP14-060,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op15lucy,Red Blue Lucy,3/23/2026,Europe,keeftcg,T4,optcgsim,ChinoizeCup(64),OP15-002,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
eb4bonney,Egghead Bonney,3/23/2026,France,Dissonance075,T4,optcgsim,ChinoizeCup(64),EB04-001,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op13ace,BR Ace,3/23/2026,Belgium,Lexinator22,T8,optcgsim,ChinoizeCup(64),OP13-002,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op15enel,Purple Enel,3/23/2026,Poland,yung_mlody,T8,optcgsim(5-1),ChinoizeCup(64),OP15-058,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
op15enel,Purple Enel,3/23/2026,Spain,yung_mlody,T8,optcgsim(5-1),ChinoizeCup(64),OP15-058,op15-eb04-deck-list-adventure-on-kamis-island,2026-03-27
st12zorosanji,Zorosanji,3/23/2026,USA,Phoum,1st Place,SB(4-0),Millenium Games(13),ST12-001,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13roger,Roger,3/22/2026,USA,DatBidoof,1st Place,StoreTC(5-0),Four Horsemen(25),OP13-003,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12zoro,G Zoro,3/22/2026,USA,Johan Fullard,T2,StoreTC(5-1),Fox Den Cafe,OP12-020,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op14crocodile,Black Crocodile,3/22/2026,USA,Max,1st Place,StoreTC(5-0),Unsettled,OP14-079,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/22/2026,Oceania,Joshua Allcock,1st Place,Regional(13-1),TAKGames(735),OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op12rosinante,PY Rosinante,3/22/2026,Oceania,Jacob Kontominas,2nd Place,Regional,TAKGames,OP12-061,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
op13ace,Red Blue Ace,3/22/2026,Oceania,Huy Doan,T4,Regional,TAKGames,OP13-002,eb-03-deck-list-one-piece-heroines-edition,2026-03-27
