deck_name,finish_dt,placement,tournament,host,set_name,leader_id,leader_name,color,color_numbers,primary_color,secondary_color,life,power
BR Ace,2026-03-23,T8,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP13-002,Portgas.D.Ace,Red/Blue,2,Red,Blue,3,6000
BY Nami,2026-03-24,T8,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
BY Nami,2026-03-24,2nd,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP11-041,Nami,Blue/Yellow,2,Blue,Yellow,4,5000
Egghead Bonney,2026-03-23,T4,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,EB04-001,Jewelry Bonney,Red/Yellow,2,Red,Yellow,4,5000
Green Mihawk,2026-03-24,1st,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP14-020,Dracule Mihawk,Green,1,Green,--,5,5000
Kalgara,2026-03-24,T4,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP08-098,Kalgara,Yellow,1,Yellow,--,5,5000
Purple Doffy,2026-03-23,2nd,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP14-060,Donquixote Doflamingo,Purple,1,Purple,--,5,5000
Purple Enel,2026-03-24,T4,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP15-058,Enel,Purple,1,Purple,--,5,5000
Purple Enel,2026-03-23,T8,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP15-058,Enel,Purple,1,Purple,--,5,5000
Purple Enel,2026-03-23,T8,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP15-058,Enel,Purple,1,Purple,--,5,5000
Red Blue Lucy,2026-03-23,T4,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP15-002,Lucy,Red/Blue,2,Red,Blue,4,5000
Red Blue Lucy,2026-03-24,T8,optcgsim,ChinoizeCup,op15-eb04-deck-list-adventure-on-kamis-island,OP15-002,Lucy,Red/Blue,2,Red,Blue,4,5000
